sap_module,sap_table,sap_field,sap_description,sap_data_element,sap_domain,sap_table_description,classification_bucket,top_canonical_concept_id,top_canonical_strength,second_canonical_concept_id,second_canonical_strength,strength_margin,confidence_tier,top_canonical_matches,candidate_reason
SD,LIKP,STCUR,Exchange rate for statistics,STCUR,KURRF,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,exchange_rate.rate,0.60,,,0.60,medium,exchange_rate.rate:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,EXNUM,Number of foreign trade data in MM and SD documents,EXNUM,EXNUM,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.id,0.60,,,0.60,medium,delivery.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,VKOIV,Sales Organization for Intercompany Billing,VKOIV,VKORG,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,sales_organization.id,0.60,,,0.60,medium,sales_organization.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,VTWIV,Distribution channel for intercompany billing,VTWIV,VTWEG,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,distribution_channel.id,0.60,,,0.60,medium,distribution_channel.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,SPAIV,Division for intercompany billing,SPAIV,SPART,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,division.id,0.60,,,0.60,medium,division.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,FKAIV,Billing type for intercompany billing,FKAIV,FKART,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,AMTBL,Released Credit Value of the Document,AMTBL_CM,WERTV8,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,invoice.amount,0.60,price.unit,0.50,0.10,medium,invoice.amount:0.60 | price.unit:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,TRATY,Means-of-Transport Type,TRATY,TRATY,SD Delivery — Header Delivery doc header. SD Sales Distribution,knowledge_only,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,BLDAT,Document Date in Document,BLDAT,DATUM,SD Delivery — Header Delivery doc header. SD Sales Distribution,knowledge_only,sales_order.document_date,0.60,,,0.60,medium,sales_order.document_date:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,TRSPG,Shipment Blocking Reason,TRSPG,TRSPG,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,reason.code,0.60,,,0.60,medium,reason.code:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,LIFEX,External Identification of Delivery Note,LIFEX,TEXT35,SD Delivery — Header Delivery doc header. SD Sales Distribution,knowledge_only,employee.id,0.60,absence.start_date,0.50,0.10,medium,employee.id:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,LCNUM,Financial doc. processing: Internal financial doc. number,LCNUM,LCNUM,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.id,0.60,,,0.60,medium,delivery.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,TDUHR,"Transp. Planning Time (Local, Relating to a Shipping Point)",TDUHR,TIME_SHIPP,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,shipping_point.id,0.60,,,0.60,medium,shipping_point.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,LDUHR,Loading Time (Local Time Relating to a Shipping Point),LDUHR,TIME_SHIPP,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,shipping_point.id,0.60,,,0.60,medium,shipping_point.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,LGTOR,Door for Warehouse Number,LGTOR,LGTOR,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.id,0.60,,,0.60,medium,delivery.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,AKKUR,Exchange rate for letter-of-credit procg in foreign trade,AKKUR,KURRF,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,exchange_rate.rate,0.60,,,0.60,medium,exchange_rate.rate:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,FOLAR,Delivery Type,LFART,LFART,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,VGANZ,Number of Delivery Items with Precedessor in Other System,SHP_VGANZ,,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,delivery.id,0.60,,,0.60,medium,delivery.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,IMWRK,Delivery has Status 'In Plant',IMWRK,XFELD,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,SPE_REV_VLSTK,Distribution Status (Decentralized Warehouse Processing),VLSTK,VLSTK,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,SPE_ORIG_SYS,Original System Type,/SPE/INB_ORIGIN_SYS,/SPE/SYSTYPE_SHORT,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,SPE_CHNG_SYS,Last Changer's System Type,/SPE/INB_CHNG_SYS,/SPE/SYSTYPE_SHORT,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,SPE_GTS_REL,Goods Traffic Type,/SPE/DE_LEG_GTS_CODE,CHAR2,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,SPE_GTS_RT_CDE,Route Code for SAP Global Trade Services,/SPE/DE_ROUTE_GTS_CODE,CHAR10,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,route.id,0.60,,,0.60,medium,route.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,SPE_UNIT_SYSTEM,Measurement Unit System,/SPE/DE_UNIT_SYSTEM,CHAR10,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,uom.code,0.60,,,0.60,medium,uom.code:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,SAKES,SAP Global Trade Services: Storage Status of Delivery,GTS_SAKES,GTS_SAKES,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,PRTNR,Confirmation number,PRTNR,PRTNR,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.id,0.60,,,0.60,medium,delivery.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,_DATAAGING,Data Filter Value for Data Aging,DATA_TEMPERATURE,DATA_TEMPERATURE,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,invoice.amount,0.60,price.unit,0.50,0.10,medium,invoice.amount:0.60 | price.unit:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,ITM_KZABE,Identification for the Means of Transport Inland,KZABE,KZABE,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,employee.id,0.60,absence.start_date,0.50,0.10,medium,employee.id:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,BESTK,Delivery Confirmation Status (All Items),BESTK,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,CMPSI,Status of Credit Check Against Financial Document,CMPSI,CMPSZ,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,delivery.status,0.60,supplier.region_code,0.50,0.10,medium,delivery.status:0.60 | supplier.region_code:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,CMPSJ,Status of Credit Check Against Export Credit Insurance,CMPSJ,CMPSZ,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,CMPS_CM,Status of Credit Check SAP Credit Management,CMPS_CM,CMPSZ,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,CMPS_TE,Status of Technical Error SAP Credit Management,CMPS_TE,CMPSZ,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,FKIVK,Intercompany Billing Status (All Items),FKIVK,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,FKSTK,Delivery-Related Billing Status (All Items),FKSTK,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,LVSTK,Status of Warehouse Management Activities (All Items),LVSTK,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,PDSTK,POD Status on Header Level,PDSTK,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,UVALL,Incompletion Status (Header),UVALL_UK,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,UVALS,Incompletion Status (All Items),UVALL_SU,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,UVFAK,Billing Incompletion Status (Header),UVFAK_UK,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,UVFAS,Billing Incompletion Status (All Items),UVFAK_SU,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,UVVLK,Delivery Incompletion Status (Header),UVVLK_UK,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,UVVLS,Delivery Incompletion Status (All Items),UVVLS_SU,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,UVWAK,Goods Movement Incompletion Status (Header),UVWAK_UK,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,UVWAS,Goods Movement Incompletion Status (All Items),UVWAK_SU,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,VESTK,Handling Unit Placed in Stock,VESTK,VESTK,SD Delivery — Header Delivery doc header. SD Sales Distribution,knowledge_only,uom.code,0.60,,,0.60,medium,uom.code:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,VLSTK,Distribution Status (Decentralized Warehouse Processing),VLSTK,VLSTK,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,WBSTK,Goods Movement Status (All Items),WBSTK,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,UVK04,Custmer reserves 4: Header status,UVK04,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,ICO_FKIVK,Intercompany Billing Status (All Items),ICO_FKIVK,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,/SAPMP/LBASK,DTUC Status,/SAPMP/LBASTAT,STATV,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.status,0.60,,,0.60,medium,delivery.status:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,INCO2_L,Incoterms Location 1,INCO2_L,INCO_L,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,incoterm.location,0.60,,,0.60,medium,incoterm.location:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,INCO3_L,Incoterms Location 2,INCO3_L,INCO_L,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,incoterm.location,0.60,,,0.60,medium,incoterm.location:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,OID_MISCDL,Miscellaneous delivery number,OID_MISCDL,OID_MISCDL,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,delivery.id,0.60,,,0.60,medium,delivery.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,CORR_IND,Quantity Correction After Goods Receipt in Advanced SR,LE_TM_CORR_IND,LE_TM_CORR_IND,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,goods_receipt.quantity,0.60,,,0.60,medium,goods_receipt.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,/BEV1/RPFAESS,Number Category 1,/BEV1/RPFAESSER,DEC7,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.id,0.60,,,0.60,medium,delivery.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,/BEV1/RPKIST,Number Category 2,/BEV1/RPKISTEN,DEC7,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.id,0.60,,,0.60,medium,delivery.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,/BEV1/RPCONT,Number Category 3,/BEV1/RPONTAIN,DEC7,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.id,0.60,,,0.60,medium,delivery.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,/BEV1/RPSONST,Number Category 4,/BEV1/RPSONST,DEC7,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.id,0.60,,,0.60,medium,delivery.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,/BEV1/RPFLGNR,Loading Sequence Number in the Tour,/DSD/RP_SEQUENCENR,/DSD/RP_SEQUENCENR,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.id,0.60,,,0.60,medium,delivery.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,IDT_FIRM_LFDAT,Commitment Level of Delivery Date and Time,IDT_FIRM_LFDAT,TRX_ESTATT,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,fulfillment.due_date,0.60,accounting.posting_date,0.50,0.10,medium,fulfillment.due_date:0.60 | accounting.posting_date:0.50 | goods_receipt.date:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,IDT_DOCNUM,IDoc number,EDI_DOCNUM,EDI_DOCNUM,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.id,0.60,,,0.60,medium,delivery.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,FSH_TRANSACTION,Transaction Number,FSH_TRANSACTION,FSH_TRANSACTION,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.id,0.60,,,0.60,medium,delivery.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,EXT_ACT_DATE_TOCD,External Actual Transfer of Control Date,EXT_ACT_DATE_TOCD,TZNTSTMPS,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.actual_delivery_date,0.60,,,0.60,medium,delivery.actual_delivery_date:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,EXT_PLAN_DATE_TOCD,External Planned Transfer of Control Date,EXT_PLAN_DATE_TOCD,TZNTSTMPS,SD Delivery — Header Delivery doc header. SD Sales Distribution,knowledge_only,delivery.planned_delivery_date,0.60,,,0.60,medium,delivery.planned_delivery_date:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,INT_ACT_DATE_TOCD,Internal Actual Transfer of Control Date,INT_ACT_DATE_TOCD,TZNTSTMPS,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.actual_delivery_date,0.60,,,0.60,medium,delivery.actual_delivery_date:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,INT_PLAN_DATE_TOCD,Internal Planned Transfer of Control Date,INT_PLAN_DATE_TOCD,TZNTSTMPS,SD Delivery — Header Delivery doc header. SD Sales Distribution,knowledge_only,delivery.planned_delivery_date,0.60,,,0.60,medium,delivery.planned_delivery_date:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,ERZET,Entry time,ERZET,UZEIT,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,MATWA,Material Entered,MATWA,MATNR,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,LFIMG,Actual quantity delivered (in sales units),LFIMG,MENG13,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",knowledge_only,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,KZTLF,Partial delivery at item level,KZTLF,KZTLF,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,UEBTK,Unlimited Overdelivery Allowed,UEBTK,XFELD,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,UEBTO,Overdelivery Tolerance,UEBTO,PRZ21,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,UNTTO,Underdelivery Tolerance,UNTTO,PRZ21,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,CHSPL,Batch split allowed,CHSPL,XFELD,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,FAKSP,Billing Block,FAKSP,FAKSP,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,LGMNG,Actual quantity delivered in stockkeeping units,LGMNG,MENG13,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",knowledge_only,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,VGSYS,Logical System in the Preceding Document,VGLOGSYS,LOGSYS,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,UPFLU,Update indicator for delivery document flow,UPFLL,UPFLL,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,FKREL,Relevant for Billing,FKREL,FKREL,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,BATCH_BILLING_VARIANT,Variant for Flex. Billing of Batch Items (CPF Result Param.),SDBIL_BATCH_BILLING_VARIANT,SDBIL_BATCH_BILLING_VARIANT,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,LADGR,Loading Group,LADGR,LADGR,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,sales_organization.id,0.50,0.10,medium,picking.quantity:0.60 | sales_organization.id:0.50,context_enriched_unmapped_auto_candidate
SD,LIPS,TRAGR,Transportation Group,TRAGR,TRAGR,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,sales_organization.id,0.50,0.10,medium,picking.quantity:0.60 | sales_organization.id:0.50,context_enriched_unmapped_auto_candidate
SD,LIPS,KOMKZ,Indicator for picking control,KOMKZ,KOMKZ,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,BWTEX,Indicator: Separate valuation,BWTEX,XFELD,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,SUMBD,Summing up of requirements,SUMBD,SUMBD,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,MTVFP,Checking Group for Availability Check,MTVFP,MTVFP,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,sales_organization.id,0.50,0.10,medium,picking.quantity:0.60 | sales_organization.id:0.50,context_enriched_unmapped_auto_candidate
SD,LIPS,GSBER,Business Area,GSBER,GSBER,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,VKBUR,Sales Office,VKBUR,VKBUR,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",knowledge_only,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
SD,LIPS,VKGRP,Sales Group,VKGRP,VKGRP,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",weak_canonical_candidate,picking.quantity,0.60,sales_organization.id,0.50,0.10,medium,picking.quantity:0.60 | sales_organization.id:0.50,context_enriched_unmapped_auto_candidate
SD,LIPS,GRKOR,Delivery Group (Items are delivered together),GRKOR,GRKOR,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,sales_organization.id,0.50,0.10,medium,picking.quantity:0.60 | sales_organization.id:0.50,context_enriched_unmapped_auto_candidate
SD,LIPS,FMENG,Quantity is fixed,FMENG,XFELD,"SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution",unmapped,picking.quantity,0.60,,,0.60,medium,picking.quantity:0.60,context_enriched_unmapped_auto_candidate
