sap_module,sap_table,sap_field,sap_description,classification_bucket,canonical_concept_id,context_added,status
MM,EBAN,BEDAT,Purchase Order Date,direct_alias_match,purchase_order.document_date,false,already_present
MM,EBAN,REVLV,Revision Level,direct_alias_match,material.drawing_revision,false,already_present
MM,EBAN,CHARG,Batch Number,direct_alias_match,batch.id,false,already_present
MM,EBAN,ADRNR,Manual address number in purchasing document item,direct_alias_match,address.id,false,already_present
MM,EBAN,ADRN2,Number of delivery address,direct_alias_match,address.id,false,already_present
MM,EBAN,KUNNR,Customer,direct_alias_match,customer.id,false,already_present
MM,EBAN,WAERS,Currency Key,direct_alias_match,accounting.document_currency_code,false,already_present
MM,EBAN,SPRAS,Language Key,direct_alias_match,customer.language_code,false,already_present
MM,EBAN,MFRPN,Manufacturer Part Number,direct_alias_match,material.manufacturer_part_number,false,already_present
MM,EBAN,MFRNR,Number of a Manufacturer,direct_alias_match,manufacturer.id,false,already_present
MM,EBAN,REVNO,Version number in Purchasing,direct_alias_match,version.number,false,already_present
MM,EBAN,EXTPURGORGFORPURG,Purchasing Organization,direct_alias_match,purchasing_organization.id,false,already_present
MM,EBAN,KOSTL,Cost Center,direct_alias_match,cost_center.id,false,already_present
MM,EBAN,MWSKZ,Tax on sales/purchases code,direct_alias_match,tax.rate,false,already_present
MM,EBAN,DISUB_PSPNR,Work Breakdown Structure Element (WBS Element),direct_alias_match,project.wbs_element_id,false,already_present
MM,EBAN,DISUB_KUNNR,Customer Number,direct_alias_match,customer.id,false,already_present
MM,EBAN,FLDLOGSVERSION,Version,direct_alias_match,version.number,false,already_present
MM,EBAN,FSH_ITEM,Item Number,direct_alias_match,material.number,false,already_present
MM,EKKO,EBELN,Purchasing Document Number,direct_alias_match,purchase_order.id,false,already_present
MM,EKKO,BUKRS,Company Code,direct_alias_match,company_code.id,false,already_present
MM,EKKO,BSART,Purchasing Document Type,direct_alias_match,purchase_order.document_type,false,already_present
MM,EKKO,LOEKZ,Deletion Indicator in Purchasing Document,direct_alias_match,material.deletion_mark,false,already_present
MM,EKKO,AEDAT,Creation Date of Purchasing Document,direct_alias_match,document.changed_date,false,already_present
MM,EKKO,ERNAM,User of person who created a purchasing document,direct_alias_match,audit.created_by,false,already_present
MM,EKKO,LIFNR,Vendor's account number,direct_alias_match,supplier.id,false,already_present
MM,EKKO,SPRAS,Language Key,direct_alias_match,customer.language_code,false,already_present
MM,EKKO,ZTERM,Terms of Payment Key,direct_alias_match,payment_term.id,false,already_present
MM,EKKO,EKORG,Purchasing Organization,direct_alias_match,purchasing_organization.id,false,already_present
MM,EKKO,EKGRP,Purchasing Group,direct_alias_match,purchasing_group.id,false,already_present
MM,EKKO,WAERS,Currency Key,direct_alias_match,accounting.document_currency_code,false,already_present
MM,EKKO,WKURS,Exchange Rate,direct_alias_match,exchange_rate.rate,false,already_present
MM,EKKO,BEDAT,Purchasing Document Date,direct_alias_match,purchase_order.document_date,false,already_present
MM,EKKO,KDATB,Start of Validity Period,direct_alias_match,purchase_contract.valid_from_date,false,already_present
MM,EKKO,KDATE,End of Validity Period,direct_alias_match,purchase_contract.valid_to_date,false,already_present
MM,EKKO,ANGNR,Quotation Number,direct_alias_match,quote.id,false,already_present
MM,EKKO,TELF1,Supplier's Telephone Number,direct_alias_match,contact.phone,false,already_present
MM,EKKO,KUNNR,Customer Number,direct_alias_match,customer.id,false,already_present
MM,EKKO,KONNR,Number of principal purchase agreement,direct_alias_match,contract.id,false,already_present
MM,EKKO,INCO1,Incoterms (Part 1),direct_alias_match,incoterm.code,false,already_present
MM,EKKO,INCO2,Incoterms (Part 2),direct_alias_match,incoterm.location,false,already_present
MM,EKKO,KTWRT,Target Value for Header Area per Distribution,direct_alias_match,purchase_contract.value,false,already_present
MM,EKKO,ADRNR,Address Number,direct_alias_match,address.id,false,already_present
MM,EKKO,STCEG,VAT Registration Number,direct_alias_match,supplier.tax_registration_id,false,already_present
MM,EKKO,REVNO,Version number in Purchasing,direct_alias_match,version.number,false,already_present
MM,EKKO,REASON_CODE,Goods Receipt Reason Code,direct_alias_match,reason.code,false,already_present
MM,EKKO,DESCRIPTION,Contract Name,direct_alias_match,address.city,true,added
MM,EKKO,RELEASE_DATE,Release Date of Contract,direct_alias_match,approval.approved_date,false,already_present
MM,EKKO,EXTERNALREFERENCEID,External Reference ID,direct_alias_match,external_reference.id,false,already_present
MM,EKKO,HASHCAL_EXISTS,Purchasing Organization,direct_alias_match,purchasing_organization.id,false,already_present
MM,EKPO,EBELN,Purchasing Document Number,direct_alias_match,purchase_order.id,false,already_present
MM,EKPO,EBELP,Item Number of Purchasing Document,direct_alias_match,purchase_order.line_item_number,false,already_present
MM,EKPO,LOEKZ,Deletion Indicator in Purchasing Document,direct_alias_match,material.deletion_mark,false,already_present
MM,EKPO,AEDAT,Purchasing Document Item Change Date,direct_alias_match,document.changed_date,false,already_present
MM,EKPO,MATNR,Material Number,direct_alias_match,material.erp_material_number,false,already_present
MM,EKPO,EMATN,Material number,direct_alias_match,material.number,false,already_present
MM,EKPO,BUKRS,Company Code,direct_alias_match,company_code.id,false,already_present
MM,EKPO,WERKS,Plant,direct_alias_match,plant.id,false,already_present
MM,EKPO,LGORT,Storage Location,direct_alias_match,storage_location.id,false,already_present
MM,EKPO,MATKL,Material Group,direct_alias_match,material.raw_material_group_id,false,already_present
MM,EKPO,INFNR,Number of purchasing info record,direct_alias_match,purchasing_info_record.id,true,added
MM,EKPO,MENGE,Purchase Order Quantity,direct_alias_match,bom.quantity,false,already_present
MM,EKPO,MEINS,Purchase Order Unit of Measure,direct_alias_match,material.base_uom_code,false,already_present
MM,EKPO,BPRME,Order Price Unit (Purchasing),direct_alias_match,order_unit.code,true,added
MM,EKPO,NETPR,Net Price in Purchasing Document (in Document Currency),direct_alias_match,net_price_amount,true,added
MM,EKPO,PEINH,Price unit,direct_alias_match,price.unit,false,already_present
MM,EKPO,MWSKZ,Tax on sales/purchases code,direct_alias_match,tax.rate,false,already_present
MM,EKPO,KONNR,Number of principal purchase agreement,direct_alias_match,contract.id,false,already_present
MM,EKPO,LMEIN,Base Unit of Measure,direct_alias_match,base_uom.code,false,already_present
MM,EKPO,KUNNR,Customer,direct_alias_match,customer.id,false,already_present
MM,EKPO,ADRNR,Manual address number in purchasing document item,direct_alias_match,address.id,false,already_present
MM,EKPO,NTGEW,Net Weight,direct_alias_match,material.net_weight,false,already_present
MM,EKPO,GEWEI,Unit of Weight,direct_alias_match,material.weight_unit_code,false,already_present
MM,EKPO,REVLV,Revision Level,direct_alias_match,material.drawing_revision,false,already_present
MM,EKPO,KO_PRCTR,Profit Center,direct_alias_match,profit_center.id,false,already_present
MM,EKPO,BRGEW,Gross Weight,direct_alias_match,material.gross_weight,false,already_present
MM,EKPO,VOLUM,Volume,direct_alias_match,shipment.volume,false,already_present
MM,EKPO,VOLEH,Volume Unit,direct_alias_match,volume.unit_code,false,already_present
MM,EKPO,INCO1,Incoterms (Part 1),direct_alias_match,incoterm.code,false,already_present
MM,EKPO,INCO2,Incoterms (Part 2),direct_alias_match,incoterm.location,false,already_present
MM,EKPO,ADRN2,Number of delivery address,direct_alias_match,address.id,false,already_present
MM,EKPO,ANFNR,RFQ Number,direct_alias_match,rfq.id,false,already_present
MM,EKPO,BANFN,Purchase Requisition Number,direct_alias_match,requisition.id,false,already_present
MM,EKPO,BNFPO,Item number of purchase requisition,direct_alias_match,requisition.line_item_number,false,already_present
MM,EKPO,MTART,Material Type,direct_alias_match,material.type_code,false,already_present
MM,EKPO,MFRPN,Manufacturer Part Number,direct_alias_match,material.manufacturer_part_number,false,already_present
MM,EKPO,MFRNR,Number of a Manufacturer,direct_alias_match,manufacturer.id,false,already_present
MM,EKPO,AFNAM,Name of requisitioner/requester,direct_alias_match,requisition.requester_id,false,already_present
MM,EKPO,PS_PSP_PNR,Work Breakdown Structure Element (WBS Element),direct_alias_match,project.wbs_element_id,false,already_present
MM,EKPO,KOSTL,Cost Center,direct_alias_match,cost_center.id,false,already_present
MM,EKPO,REASON_CODE,Goods Receipt Reason Code,direct_alias_match,reason.code,false,already_present
MM,EKPO,BLK_REASON_ID,Blocking Reason - ID,direct_alias_match,reason.code,false,already_present
MM,EKPO,STAWN,Commodity Code,direct_alias_match,material.hts_code,false,already_present
MM,EKPO,TARGET_VALUE,Target Value at Item Level in Procurement Hub,direct_alias_match,purchase_contract.value,false,already_present
MM,EKPO,EXTERNALREFERENCEID,External Reference ID,direct_alias_match,external_reference.id,false,already_present
MM,EKPO,/DMBE/EFFECTIVEDATEFROM,Effective From,direct_alias_match,validity.start_date,false,already_present
MM,EKPO,HASHCAL_EXISTS,Purchasing Organization,direct_alias_match,purchasing_organization.id,false,already_present
MM,EKPO,AUDAT,Document Date (Date Received/Sent),direct_alias_match,sales_order.document_date,false,already_present
MM,EKPO,ANGNR,Quotation number,direct_alias_match,quote.id,false,already_present
MM,EKPO,DISUB_PSPNR,Work Breakdown Structure Element (WBS Element),direct_alias_match,project.wbs_element_id,false,already_present
MM,EKPO,DISUB_KUNNR,Customer Number,direct_alias_match,customer.id,false,already_present
MM,EKPO,FSH_ITEM,Item Number,direct_alias_match,material.number,false,already_present
MM,EKPO,ADDRNUM,Address Number,direct_alias_match,address.id,false,already_present
MM,EKPO,BELNR,Document Number for Earmarked Funds,direct_alias_match,accounting.document_number,false,already_present
MM,EKPO,WBS_ELEMENT,Work Breakdown Structure Element (WBS Element),direct_alias_match,project.wbs_element_id,false,already_present
MM,EKPO,SOURCE_ID,Origin Profile,direct_alias_match,lead.source,false,already_present
MM,MKPF,MBLNR,Number of Material Document,direct_alias_match,goods_receipt.id,false,already_present
MM,MKPF,BLART,Document Type,direct_alias_match,document.type,false,already_present
MM,MKPF,BUDAT,Posting Date in the Document,direct_alias_match,accounting.posting_date,false,already_present
MM,MKPF,AEDAT,Last Changed On,direct_alias_match,document.changed_date,false,already_present
MM,MKPF,USNAM,User Name,direct_alias_match,audit.created_by,false,already_present
MM,MKPF,XBLNR,Reference Document Number,direct_alias_match,journal_entry.reference,false,already_present
MM,MSEG,MBLNR,Number of Material Document,direct_alias_match,goods_receipt.id,false,already_present
MM,MSEG,BWART,Movement Type (Inventory Management),direct_alias_match,goods_movement.type,false,already_present
MM,MSEG,MATNR,Material Number,direct_alias_match,material.erp_material_number,false,already_present
MM,MSEG,WERKS,Plant,direct_alias_match,plant.id,false,already_present
MM,MSEG,LGORT,Storage Location,direct_alias_match,storage_location.id,false,already_present
MM,MSEG,CHARG,Batch Number,direct_alias_match,batch.id,false,already_present
MM,MSEG,LIFNR,Vendor's account number,direct_alias_match,supplier.id,false,already_present
MM,MSEG,KUNNR,Account number of customer,direct_alias_match,customer.id,false,already_present
MM,MSEG,KDAUF,Sales Order Number,direct_alias_match,sales_order.id,false,already_present
MM,MSEG,SHKZG,Debit/Credit Indicator,direct_alias_match,journal_entry.debit_credit_indicator,false,already_present
MM,MSEG,WAERS,Currency Key,direct_alias_match,accounting.document_currency_code,false,already_present
MM,MSEG,DMBTR,Amount in Local Currency,direct_alias_match,accounting.local_currency_amount,false,already_present
MM,MSEG,MENGE,Quantity,direct_alias_match,bom.quantity,false,already_present
MM,MSEG,MEINS,Base Unit of Measure,direct_alias_match,material.base_uom_code,false,already_present
MM,MSEG,BPRME,Order Price Unit (Purchasing),direct_alias_match,order_unit.code,true,added
MM,MSEG,EBELN,Purchase order number,direct_alias_match,purchase_order.id,false,already_present
MM,MSEG,EBELP,Item Number of Purchasing Document,direct_alias_match,purchase_order.line_item_number,false,already_present
MM,MSEG,EQUNR,Equipment Number,direct_alias_match,equipment.id,false,already_present
MM,MSEG,KOSTL,Cost Center,direct_alias_match,cost_center.id,false,already_present
MM,MSEG,PROJN,Old: Project number : No longer used --> PS_POSNR,direct_alias_match,project.wbs_element_id,false,already_present
MM,MSEG,AUFNR,Order Number,direct_alias_match,production_order.id,false,already_present
MM,MSEG,ANLN1,Main Asset Number,direct_alias_match,asset.id,false,already_present
MM,MSEG,GJAHR,Fiscal Year,direct_alias_match,fiscal_year.id,false,already_present
MM,MSEG,BUKRS,Company Code,direct_alias_match,company_code.id,false,already_present
MM,MSEG,BELNR,Document Number of an Accounting Document,direct_alias_match,accounting.document_number,false,already_present
MM,MSEG,BUZEI,Number of Line Item Within Accounting Document,direct_alias_match,journal_entry.line_item_number,false,already_present
MM,MSEG,UMWRK,Receiving plant/issuing plant,direct_alias_match,plant.id,false,already_present
MM,MSEG,LGNUM,Warehouse Number / Warehouse Complex,direct_alias_match,warehouse.id,false,already_present
MM,MSEG,LGPLA,Storage Bin,direct_alias_match,warehouse_bin.id,false,already_present
MM,MSEG,GRUND,Reason for Movement,direct_alias_match,reason.code,false,already_present
MM,MSEG,PRCTR,Profit Center,direct_alias_match,profit_center.id,false,already_present
MM,MSEG,PS_PSP_PNR,Work Breakdown Structure Element (WBS Element),direct_alias_match,project.wbs_element_id,false,already_present
MM,MSEG,VFDAT,Shelf Life Expiration or Best-Before Date,direct_alias_match,inventory_lot.expiration_date,false,already_present
MM,MSEG,LBKUM,Total valuated stock before the posting,direct_alias_match,stock.quantity,false,already_present
MM,MSEG,MWSKZ,Tax on sales/purchases code,direct_alias_match,tax.rate,false,already_present
MM,MSEG,EMATN,Material number corresponding to manufacturer part number,direct_alias_match,material.number,false,already_present
MM,MSEG,HSDAT,Date of Manufacture,direct_alias_match,inventory_lot.manufacture_date,false,already_present
MM,MSEG,MAT_PSPNR,Valuated Sales Order Stock WBS Element,direct_alias_match,project.wbs_element_id,false,already_present
MM,MSEG,USNAM_MKPF,User Name,description_alias_match,account.name,true,added
MM,MSEG,XBLNR_MKPF,Reference Document Number,direct_alias_match,journal_entry.reference,false,already_present
MM,MSEG,PERNR,Personnel Number,direct_alias_match,contact.id,false,already_present
SD,VBAK,VBELN,Sales Document,direct_alias_match,invoice.number,false,already_present
SD,VBAK,ERDAT,Record Created On,direct_alias_match,document.created_date,false,already_present
SD,VBAK,ERNAM,Name of Person Responsible for Creating the Object,direct_alias_match,audit.created_by,false,already_present
SD,VBAK,AUDAT,Document Date (Date Received/Sent),direct_alias_match,sales_order.document_date,false,already_present
SD,VBAK,AUART,Sales Document Type,direct_alias_match,sales_order.document_type,false,already_present
SD,VBAK,VKORG,Sales Organization,direct_alias_match,sales_organization.id,false,already_present
SD,VBAK,VTWEG,Distribution Channel,direct_alias_match,distribution_channel.id,false,already_present
SD,VBAK,SPART,Division,direct_alias_match,division.id,false,already_present
SD,VBAK,VDATU,Requested Delivery Date,direct_alias_match,delivery.requested_delivery_date,false,already_present
SD,VBAK,TELF1,Telephone Number,direct_alias_match,contact.phone,false,already_present
SD,VBAK,KUNNR,Sold-to Party,direct_alias_match,customer.id,false,already_present
SD,VBAK,KOSTL,Cost Center,direct_alias_match,cost_center.id,false,already_present
SD,VBAK,AEDAT,Last Changed On,direct_alias_match,document.changed_date,false,already_present
SD,VBAK,PS_PSP_PNR,Work Breakdown Structure Element (WBS Element),direct_alias_match,project.wbs_element_id,false,already_present
SD,VBAK,XBLNR,Reference Document Number,direct_alias_match,journal_entry.reference,false,already_present
SD,VBAK,AUFNR,Order Number,direct_alias_match,production_order.id,false,already_present
SD,VBAK,HANDLE,International unique key for VBAK-VBELN,direct_alias_match,system.guid,false,already_present
SD,VBAK,PAY_METHOD,List of Respected Payment Methods,direct_alias_match,payment.method_code,false,already_present
SD,VBAK,BPN,Business Partner Number,direct_alias_match,business_partner.id,false,already_present
SD,VBAP,VBELN,Sales Document,direct_alias_match,invoice.number,false,already_present
SD,VBAP,POSNR,Sales Document Item,direct_alias_match,sales_order.line_item_number,false,already_present
SD,VBAP,MATNR,Material Number,direct_alias_match,material.erp_material_number,false,already_present
SD,VBAP,CHARG,Batch Number,direct_alias_match,batch.id,false,already_present
SD,VBAP,MATKL,Material Group,direct_alias_match,material.raw_material_group_id,false,already_present
SD,VBAP,PRODH,Product Hierarchy,direct_alias_match,product.category,false,already_present
SD,VBAP,MEINS,Base Unit of Measure,direct_alias_match,material.base_uom_code,false,already_present
SD,VBAP,KDMAT,Material Number Used by Customer,direct_alias_match,material.customer_part_number,false,already_present
SD,VBAP,SPART,Division,direct_alias_match,division.id,false,already_present
SD,VBAP,RESOURCE_ID,Resource Name (Stock Identifier),direct_alias_match,resource.id,false,already_present
SD,VBAP,VRKME,Sales Unit,direct_alias_match,uom.code,false,already_present
SD,VBAP,BRGEW,Gross Weight of the Item,direct_alias_match,material.gross_weight,false,already_present
SD,VBAP,NTGEW,Net Weight of the Item,direct_alias_match,material.net_weight,false,already_present
SD,VBAP,GEWEI,Unit of Weight,direct_alias_match,material.weight_unit_code,false,already_present
SD,VBAP,VOLUM,Volume of the item,direct_alias_match,shipment.volume,false,already_present
SD,VBAP,VOLEH,Volume Unit,direct_alias_match,volume.unit_code,false,already_present
SD,VBAP,WERKS,Plant (Own or External),direct_alias_match,plant.id,false,already_present
SD,VBAP,LGORT,Storage Location,direct_alias_match,storage_location.id,false,already_present
SD,VBAP,VSTEL,Shipping Point / Receiving Point,direct_alias_match,shipping_point.id,false,already_present
SD,VBAP,ROUTE,Route,direct_alias_match,route.id,false,already_present
SD,VBAP,STLNR,Bill of Material,direct_alias_match,bom.id,false,already_present
SD,VBAP,ERDAT,Record Created On,direct_alias_match,document.created_date,false,already_present
SD,VBAP,ERNAM,Name of Person Responsible for Creating the Object,direct_alias_match,audit.created_by,false,already_present
SD,VBAP,NETPR,Net Price,direct_alias_match,net_price_amount,true,added
SD,VBAP,SHKZG,Returns Item,direct_alias_match,journal_entry.debit_credit_indicator,false,already_present
SD,VBAP,XCHPF,Batch Management Requirement Indicator,direct_alias_match,material.batch_managed_flag,false,already_present
SD,VBAP,AEDAT,Last Changed On,direct_alias_match,document.changed_date,false,already_present
SD,VBAP,PRCTR,Profit Center,direct_alias_match,profit_center.id,false,already_present
SD,VBAP,KMPMG,Component Quantity,direct_alias_match,bom.quantity,false,already_present
SD,VBAP,PS_PSP_PNR,Work Breakdown Structure Element (WBS Element),direct_alias_match,project.wbs_element_id,false,already_present
SD,VBAP,AUFNR,Order Number,direct_alias_match,production_order.id,false,already_present
SD,VBAP,SERNR,BOM explosion number,direct_alias_match,asset.serial_number,false,already_present
SD,VBAP,MWSBP,Tax Amount in Document Currency,direct_alias_match,payroll.tax_amount,false,already_present
SD,VBAP,HANDLE,GUID in 'CHAR' Format in Uppercase,direct_alias_match,system.guid,false,already_present
SD,VBAP,VCM_CHAIN_UUID,GUID in 'CHAR' Format in Uppercase,direct_alias_match,system.guid,false,already_present
SD,VBAP,REASON_CODE,Reason for Return or Expected Delivery Quantity Change,direct_alias_match,reason.code,false,already_present
SD,VBAP,AUART_ANA,Sales Document Type,direct_alias_match,sales_order.document_type,false,already_present
SD,VBAP,VKORG_ANA,Sales Organization,direct_alias_match,sales_organization.id,false,already_present
SD,VBAP,VTWEG_ANA,Distribution Channel,direct_alias_match,distribution_channel.id,false,already_present
SD,VBAP,SPART_ANA,Division,direct_alias_match,division.id,false,already_present
SD,VBAP,VDATU_ANA,Requested Delivery Date,direct_alias_match,delivery.requested_delivery_date,false,already_present
SD,VBAP,KDGRP_ANA,Customer Group,direct_alias_match,customer_group.id,false,already_present
SD,VBAP,/DMBE/EFFECTIVEDATEFROM,Effective From,direct_alias_match,validity.start_date,false,already_present
SD,VBAP,FSH_ITEM,Item Number,direct_alias_match,material.number,false,already_present
SD,VBAP,KOSTL,Cost Center,direct_alias_match,cost_center.id,false,already_present
SD,VBAP,EQUNR,Equipment Number,direct_alias_match,equipment.id,false,already_present
SD,VBAP,J_3GBELNRI,Document Number,description_alias_match,account.owner_employee_id,true,added
SD,VBAP,PAY_METHOD,List of Respected Payment Methods,direct_alias_match,payment.method_code,false,already_present
SD,VBAP,BPN,Business Partner Number,direct_alias_match,business_partner.id,false,already_present
