concept_id,entity,attribute,display_name,description,data_type,aliases,is_pii,is_gdpr_special_category,pii_categories,data_subject_types
ar_receivable.open_amount,ar_receivable,open_amount,AR Open Amount,Outstanding unpaid receivable amount.,decimal,"ar open amount, open receivable, outstanding receivable, unpaid amount"
asset.description,asset,description,Asset Description,Detailed name of the asset,string,"asset description, asset name, fixed asset description"
asset.id,asset,id,Asset ID,Identifier for a fixed or capital asset,string,"anln1, asset id, asset no, asset number, assetnumber, assetnumber c, broj osnovnog sredstva, fixed asset id"
asset.serial_number,asset,serial_number,Serial Number,Unique serial identifier for a physical unit,string,"SerialNumber;asset serial number, ser no, serial no, serial number, serialnumber, serijski broj, sernr"
attachment.file_name,attachment,file_name,Attachment File Name,Name of an attached file.,string,"Name;attachment file name, dateiname, document file name, file name, filename, naziv fajla"
attachment.id,attachment,id,Attachment ID,Identifier for a file attachment linked to a business record.,string,"att id, attachment id, attachmentid, document attachment id, file id, id priloga"
audit.changed_by,audit,changed_by,Changed By,User or system that last changed a record.,string,"aenam, changed by, izmenio, last updated by, mod by, modified by, modifiedby",true,,"direct_identifier,employment",employee
audit.created_by,audit,created_by,Created By,User or system that created a record.,string,"create by, created by, createdby, creator user, entered by, ernam, kreirao, usnam",true,,"direct_identifier,employment",employee
audit.source_system,audit,source_system,Source System,Originating application or system of record.,string,"application source, originating system, source system, system of record"
available_to_promise.date,available_to_promise,date,Available-to-Promise Date,Date on which product quantity is available to promise for customer demand.,date,"atp date, available to promise date, confirmed availability date, promise date"
available_to_promise.quantity,available_to_promise,quantity,Available-to-Promise Quantity,"Quantity available to commit to customer orders after considering supply, demand, and reservations.",decimal,"atp quantity, available qty, available quantity, available to promise quantity, availableqty, promise quantity, raspoloziva kolicina"
backorder.quantity,backorder,quantity,Backorder Quantity,Customer demand quantity that cannot currently be fulfilled from available supply.,decimal,"backorder qty, backorder quantity, backorderqty, kolicina u backorder u, mng03, open backorder qty, shortage quantity, unfulfilled quantity"
backorder.status,backorder,status,Backorder Status,Current processing state of a backordered sales or fulfillment line.,string,"backorder status, fulfillment delay status, shortage status"
bank_account.account_number,bank_account,account_number,Bank Account Number,Account number assigned by a financial institution.,string,"AccountNumber;account no, bank account number, bank acct number"
bank_account.currency_code,bank_account,currency_code,Bank Account Currency Code,Currency code of the bank account.,string,"account currency code, bank account currency, currency, currency id, currencyisocode, transactioncurrencyid, valuta, waers"
bank_account.iban,bank_account,iban,IBAN,International Bank Account Number.,string,"iban, international bank account number"
bank_account.id,bank_account,id,Bank Account ID,"Identifier for a bank account used by a company, customer, or supplier.",string,"bank account id, bank account number id, bank details id"
bank_account.routing_number,bank_account,routing_number,Bank Routing Number,"Routing, sort, transit, or bank key number used for payments.",string,"RoutingNumber;aba number, bank key, bankl, routing broj, routing number, routingnumber, sort code, transit number"
base_uom.code,uom,base_uom_code,Base Unit of Measure,Base unit of measure assigned to a material master record.,string,"base unit of measure, base uom, material base uom"
batch.id,batch,id,Batch Number,Identifier for a specific production lot or batch,string,"LotNumber;batch id, batch no, batch number, broj lota, charg, charg lot, lot number, lotnumber, production lot"
benefit_enrollment.effective_date,benefit_enrollment,effective_date,Benefit Enrollment Effective Date,Date from which benefit coverage is effective.,date,"benefit effective date, coverage effective date, enrollment effective date"
benefit_enrollment.status,benefit_enrollment,status,Benefit Enrollment Status,Enrollment status of an employee in a benefit plan.,string,"benefit enrollment status, benefits enrollment status, coverage status"
benefit_plan.id,benefit_plan,id,Benefit Plan ID,Identifier for an employee benefit plan.,string,"benefit plan id, benefits plan, health plan id"
benefit_plan.name,benefit_plan,name,Benefit Plan Name,Name of an employee benefit plan.,string,"benefit plan name, benefits plan name, insurance plan name"
bom.component,bom,component,BOM Component,Material or part within a BOM,string,"bom component, component material, component part, idnrk"
bom.id,bom,id,BOM ID,Identifier for a Bill of Materials,string,"bill of materials id, bom id, bom no, bom number, bomnumber, broj sastavnice, stlnr"
bom.quantity,bom,quantity,BOM Quantity,Required quantity of a component in a BOM,decimal,"Quantity;bom qty, bom quantity, component qty, component quantity, componentqty, kmpmg, kolicina komponente, menge"
business_partner.id,business_partner,id,Business Partner ID,"Stable identifier for a party that may act in one or more roles such as customer, vendor, carrier, employee, or contact.",string,"assigned bp, bp id, bp number, bpn, business partner id, business partner number, partner"
business_unit.id,business_unit,id,Business Unit ID,Identifier for a business unit used for management reporting or operations.,string,"bu id, business unit id, operating unit id"
business_unit.name,business_unit,name,Business Unit Name,Name of a business unit.,string,"bu name, business unit name, operating unit name"
campaign.end_date,campaign,end_date,Campaign End Date,Date on which the campaign ends.,date,"campaign end date, campaign finish date, promotion end date"
campaign.id,campaign,id,Campaign ID,Identifier for a marketing or sales campaign.,string,"campaign code, campaign id, campaignid, id kampanje, kampa, marketing campaign id"
campaign.name,campaign,name,Campaign Name,Name of a marketing or sales campaign.,string,"campaign name, campaignname, kampnm, marketing campaign name, naziv kampanje, promotion name"
campaign.start_date,campaign,start_date,Campaign Start Date,Date on which the campaign begins.,date,"campaign begin date, campaign start date, promotion start date"
campaign.status,campaign,status,Campaign Status,Lifecycle status of the campaign.,string,"campaign lifecycle status, campaign status, marketing campaign status"
campaign.type,campaign,type,Campaign Type,"Classification of campaign such as email, event, webinar, digital, or trade show.",string,"campaign category, campaign type, marketing channel"
capacity.available_hours,capacity,available_hours,Available Capacity Hours,"Capacity hours available for a work center, resource, or production period.",decimal,"available capacity, available hours, capacity available hours"
capacity.required_hours,capacity,required_hours,Required Capacity Hours,Capacity hours required to execute planned or released work.,decimal,"capacity load hours, required capacity, required hours"
capacity.utilization_percent,capacity,utilization_percent,Capacity Utilization Percent,Percentage of available capacity consumed by planned or actual workload.,decimal,"capacity utilization, resource utilization, utilization percent"
carbon_footprint.value,carbon_footprint,value,Carbon Footprint,Amount of CO2 equivalent for a material or process,decimal,"carbon footprint, carbon impact, co2 value, emission value"
carrier_service_level.code,carrier_service_level,code,Carrier Service Level Code,"Service level offered by a carrier such as ground, express, overnight, or economy.",string,"carrier service level, freight service code, shipping service level"
carrier_service_level.name,carrier_service_level,name,Carrier Service Level Name,Descriptive name of a carrier or transportation service level.,string,"carrier service level name, freight service name, shipping service name"
case.closed_date,case,closed_date,Case Closed Date,Date when the case was resolved or closed.,date,"case closed date, issue closed date, resolution date"
case.id,case,id,Case ID,Identifier for a customer service case or support case.,string,"broj slucaja, case id, case no, case number, casenumber, service case id, support case number"
case.opened_date,case,opened_date,Case Opened Date,Date when the case was opened.,date,"case created date, case opened date, issue opened date"
case.priority,case,priority,Case Priority,"Priority assigned to a case such as low, medium, high, or critical.",string,"case priority, issue priority, prio, prioritet, prioritycode, severity, urgency"
case.status,case,status,Case Status,Current lifecycle status of a customer service case.,string,"case status, service case status, support status"
case.subject,case,subject,Case Subject,Short description or title of the customer service case.,string,"betreff, case subject, case title, issue subject, predmet, subj, title"
certificate.id,certificate,id,Certificate ID,Identifier for a quality or compliance certificate,string,"certificate id, certificate number, coa, quality certificate, urznr"
certification.expiration_date,certification,expiration_date,Certification Expiration Date,Expiration date for a professional or compliance certification.,date,"certificate expiry date, certification expiration date, license expiration date"
company.id,company,id,Company ID,Stable identifier for a legal company or enterprise company record. Not equivalent to SAP company code unless explicitly company-code scoped.,string,"ID;bukrs, company id, company identifier, company number, companyid, id kompanije, vbund"
company.name,company,name,Company Name,Display or legal name of a legal company or enterprise company record.,string,"company legal name, company name"
company.tax_registration_id,company,tax_registration_id,Company Tax Registration ID,Tax registration identifier for a legal company entity.,string,"company tax number, company tax registration id, company vat number"
company_code.id,company_code,id,Company Code,Legal accounting entity used for financial postings.,string,"accounting company code, bukrs, company code, company code id"
compensation.base_salary,compensation,base_salary,Base Salary,Annual or periodic base salary amount,decimal,"annual salary, ansal, base pay, base wage, basesalary, grden, osnovna plata, pay rate"
compensation.grade,compensation,grade,Compensation Grade,Pay grade or salary band assigned to an employee,string,"compensation grade, pay grade, salary band, salary grade"
compensation.plan,compensation,plan,Compensation Plan,Name or ID of the compensation plan assigned to the worker,string,"comp plan, compensation plan, pay plan, salary plan"
compliance.status,compliance,status,Compliance Status,Adherence to regulations such as REACH or RoHS,string,"compliance status, esg status, regulatory status"
contact.account_id,contact,account_id,Contact Account ID,Business account or organization associated with the contact.,string,"company id for contact, contact account id, parent account id"
contact.email,contact,email,Contact Email,Primary email address for a contact person.,string,"Email;contact email, email address, primary email",true,,contact,contact
contact.id,contact,id,Contact ID,Stable identifier for an individual contact person.,string,"ID;business contact id, contact id, contact number, contactid, id kontakta, id osobe, parnr, pernr, person id, personid",true,,direct_identifier,contact
contact.name,contact,name,Contact Name,Display name of a contact person.,string,"FullName;contact name, full name, fullname, name1, person name, puno ime",true,,person_name,contact
contact.phone,contact,phone,Contact Phone,Primary phone number for a contact person.,string,"broj telefona, contact phone, contact telephone, mobile number, phone number, phonenumber, telf1",true,,contact,contact
contact.role,contact,role,Contact Role,Business role of the contact in a relationship or transaction.,string,"buyer role, contact role, decision maker role, stakeholder role"
container.id,container,id,Container ID,Identifier for a shipping container,string,"broj kontejnera transport, cont, container id, container number, containerid, contnr, id kontejnera, shipping container id, signi, transport container, transportcontainer"
contract.end_date,contract,end_date,Contract End Date,Expiration or end date of the contract.,date,"contract end date, contract expiry date, contract valid to date"
contract.id,contract,id,Contract ID,Identifier for a legal or business contract,string,"ID;agreement id, bon enh cno, broj ugovora, cnt, contract id, contract no, contract number, contractnumber, konnr, recnnr, vertn, vtrgb nr"
contract.start_date,contract,start_date,Contract Start Date,Effective start date of the contract.,date,"contract effective date, contract start date, contract valid from date"
cost_center.code,cost_center,code,Cost Center Code,Short numeric or alphanumeric code for the cost center,string,"ID;cc code, cost center code, cost center number, kostenstelle"
cost_center.id,cost_center,id,Cost Center,Identifier for an organizational cost center,string,"Cc;analytic account, budget center, cc, cost center, cost center id, cost centre, cost ctr, costcenter c, kostl, mesto troska"
cost_center.manager_id,cost_center,manager_id,Cost Center Manager ID,Employee ID of the manager responsible for the cost center,string,"cc cost center manager, cc manager id, cost center manager"
cost_center.name,cost_center,name,Cost Center Name,Descriptive name of the cost center organizational unit,string,"cc name, cost center name, cost centre name, ktext"
currency.code,currency,code,Currency Code,ISO or ERP currency key used as a reference currency code.,string,"currency master code, iso currency code, waers"
customer.account_status,customer,account_status,Customer Account Status,Lifecycle or trading status of the customer account.,string,"account active flag, blocked status, customer account status, customer status"
customer.address,customer,address,Customer Address,"Primary customer master address when explicitly customer-scoped. Use ship-to, bill-to, or payer address concepts when partner role matters.",string,"buyer address, client address, customer address, customer master address"
customer.bill_to_party_id,customer,bill_to_party_id,Bill-To Party ID,Customer account that receives the invoice.,string,"bill to party id, billing customer number, invoice recipient customer"
customer.classification,customer,classification,Customer Classification,Business classification or tier assigned to a customer.,string,"account class, customer class, customer classification, customer tier"
customer.credit_limit,customer,credit_limit,Customer Credit Limit,Approved credit exposure limit for the customer account.,decimal,"CreditLimit;credit exposure limit, credit limit, creditlimit, customer credit limit, klimk, kreditni limit"
customer.email,customer,email,Customer Email,Primary email address for the customer account or customer contact when explicitly customer-scoped.,string,"buyer email, client email, client mail, customer email, customer email address",true,,contact,customer
customer.id,customer,id,Customer ID,"Stable identifier for a customer account or customer master record. Does not by itself imply sold-to, ship-to, bill-to, or payer role.",string,"cust id, cust no, customer id, customer identifier, customer no, customer number, customerid, id kupca, kunnr, legacy customer identifier ready 20260510144018"
customer.language_code,customer,language_code,Customer Language Code,Preferred communication language code for the customer.,string,"correspondence language, customer language, language code, spras"
customer.name,customer,name,Customer Name,Display or legal name of the customer account or customer master record.,string,"CustomerRef_FullName;buyer name, client name, customer account name, customer name"
customer.payer_id,customer,payer_id,Payer ID,Customer account responsible for payment.,string,"payer customer number, payer id, payment responsible customer"
customer.phone,customer,phone,Customer Phone,Primary phone number for the customer account or customer contact when explicitly customer-scoped.,string,"Phone;buyer phone, client phone, customer phone, customer phone field, customer phone number, customer telephone",true,,contact,customer
customer.ship_to_party_id,customer,ship_to_party_id,Ship-To Party ID,Customer or location that receives delivered goods or services.,string,"delivery recipient customer, ship to customer number, ship to party id"
customer.sold_to_party_id,customer,sold_to_party_id,Sold-To Party ID,Customer account that places or owns the sales order.,string,"sales order sold to party, sold to customer number, sold to party id"
customer.tax_registration_id,customer,tax_registration_id,Customer Tax Registration ID,Tax registration identifier for a customer account.,string,"customer tax number, customer tax registration id, customer vat number"
customer_group.id,customer_group,id,Customer Group,Classification for a set of customers,string,"cust group, customer group, customer segment, customergroup, grupa kupaca, kdgrp, kukla"
defect.id,defect,id,Defect ID,Identifier for a recorded defect or non-conformity,string,"defect id, defect number, non conformity id, qm notification"
delivery.actual_delivery_date,delivery,actual_delivery_date,Actual Delivery Date,Actual date on which goods were delivered.,date,"actual delivery date, actualdeliverydate, datum isporuke stvaran, delivered date, lfdat is"
delivery.goods_issue_date,delivery,goods_issue_date,Goods Issue Date,Date on which goods issue is posted or planned for an outbound delivery.,date,"actual goods issue date, goods issue date, planned goods issue date, wadat"
delivery.id,delivery,id,Delivery ID,Identifier for an outbound/inbound delivery document or shipping document.,string,"delivery id, delivery no, delivery number, delivery vbeln, outbound delivery number, shipping document number, vbeln vl"
delivery.line_item_number,delivery,line_item_number,Delivery Line Item Number,Item number identifying a specific line within a delivery document.,integer,"delivery item number, delivery line item number, delivery posnr"
delivery.planned_delivery_date,delivery,planned_delivery_date,Planned Delivery Date,Planned date on which goods are expected to be delivered.,date,"planned delivery date, scheduled delivery date"
delivery.requested_delivery_date,delivery,requested_delivery_date,Requested Delivery Date,Date requested by the customer or requester for delivery.,date,"customer requested delivery date, requested delivery date"
delivery.status,delivery,status,Delivery Status,Current state of the delivery process,string,"delivery status, shipment status, shipping status"
demand_forecast.forecast_date,demand_forecast,forecast_date,Demand Forecast Date,Date on which a demand forecast was created or published.,date,"demand forecast date, forecast creation date, forecast date"
demand_forecast.forecast_period,demand_forecast,forecast_period,Demand Forecast Period,Time bucket or planning period covered by a demand forecast.,string,"demand period, forecast bucket, forecast period, planning bucket, prper"
demand_forecast.id,demand_forecast,id,Demand Forecast ID,Identifier for a demand forecast record or forecast version item.,string,"demand forecast id, demand forecast number, forecast id"
demand_forecast.quantity,demand_forecast,quantity,Demand Forecast Quantity,"Expected demand quantity for a product, location, customer, or planning bucket.",decimal,"demand forecast quantity, forecast qty, forecast quantity"
demand_forecast.version,demand_forecast,version,Demand Forecast Version,Version or scenario identifier for a demand forecast.,string,"demand plan version, forecast scenario, forecast version"
demand_plan.id,demand_plan,id,Demand Plan ID,Identifier for an approved or working demand plan.,string,"demand plan id, demand planning plan id, forecast plan id"
demand_plan.status,demand_plan,status,Demand Plan Status,"Lifecycle status of a demand plan such as draft, reviewed, approved, or published.",string,"demand plan status, forecast plan status, istat, planning status"
demand_plan.version,demand_plan,version,Demand Plan Version,"Version, scenario, or cycle identifier for a demand plan.",string,"demand plan version, forecast cycle, planning version"
department.code,department,code,Department Code,Short code or organization code for the department/supervisory organization.,string,"department code, dp code, po department code, supervisory org code"
department.id,department,id,Department ID,Unique reference identifier for the organizational department/supervisory org,string,"ID;department id, department reference id, dp department nk, supervisory org id"
department.manager_id,department,manager_id,Department Manager ID,Employee ID of the department or supervisory org manager,string,"department manager id, dp manager id, org manager id"
department.name,department,name,Department Name,Name of the organizational department or supervisory organization.,string,"Department;department name, dp name, supervisory org name"
dimension.id,dimension,id,Dimension ID,Identifier for an analytical or accounting dimension.,string,"analytical dimension, dimension id, financial dimension"
dimension.value,dimension,value,Dimension Value,Value assigned to an analytical or accounting dimension.,string,"accounting dimension value, dimension value, segment value"
distribution_channel.id,distribution_channel,id,Distribution Channel,Channel through which goods or services are sold.,string,"distribution channel, distribution channel id, sales distribution channel, vtweg"
division.id,division,id,Division,Product or service division used in sales area or organizational reporting.,string,"division id, product division, sales division, spart"
document.changed_date,document,changed_date,Last Changed Date,Technical date when a record or document was last changed in the source system.,date,"aedat, changed date, document changed date, last changed date, record changed date"
document.created_date,document,created_date,Created Date,Technical date when a record or document was created in the source system.,date,"created date, creation date, document created date, erdat, ersda, mara ersda, record created date"
document.type,document,type,Document Type,Business classification of an ERP document within a specific document family.,string,"blart, document category, document type"
employee.birth_date,employee,birth_date,Date of Birth,Employee birth date,date,"BirthDate;birth date, date of birth, dateofbirth, datum rodjenja, dob, gbdat",true,,date_of_birth,employee
employee.contract_end_date,employee,contract_end_date,Contract End Date,Expiration date of the fixed-term or contingent worker contract,date,"em contract exp date, employment contract end date, fixed term contract expiry date, worker contract end date"
employee.department,employee,department,Employee Department Reference,"Department reference associated with an employee record; prefer department.id, department.code, or department.name when the source field meaning is known.",string,"abtei, dep, department id, dept, employee department, employee department reference, odeljenje, worker department, worker org unit"
employee.email,employee,email,Employee Email,Primary employee email address,string,"corporate email, employee email, poslovni email, smtp work, work email, workemail",true,,contact,employee
employee.employee_type,employee,employee_type,Employee Type,"Type of worker engagement: Regular, Fixed Term, Intern, Apprentice, Contingent, etc.",string,"em employee type, em worker type, employee type, employment type, worker type"
employee.employment_status,employee,employment_status,Employment Status,"Current active status of the worker: Active, Terminated, On Leave, etc.",string,"active status, em employment status, employment status, stat2, worker status"
employee.fte,employee,fte,FTE,Full Time Equivalent ratio for the worker's primary position,decimal,"em fte, em full parttime indicator, em scheduled weekly hours, fte, full time equivalent"
employee.gender,employee,gender,Gender,Legal or self-identified gender of the employee,string,"Gender;em gender, gender, gender c, gendercode, gesch, pol, sex, worker gender"
employee.hire_date,employee,hire_date,Hire Date,Date when the employee joined,date,"HireDate;begda, datum zaposlenja, employee hire date, employment start date, hire date, hiredate, join date"
employee.id,employee,id,Employee ID,Stable identifier for an employee,string,"ID;ID_EMPLOYEE;employee id, employeeid, id zaposlenog, pernr, personalni broj, personnel number, personnelnumber, staff id, worker id",true,,"direct_identifier,employment",employee
employee.manager_id,employee,manager_id,Manager ID,Employee ID of the supervisor,string,"line manager id, manager id, reports to id, supervisor id",true,,"direct_identifier,employment",employee
employee.marital_status,employee,marital_status,Marital Status,Marital or civil partnership status of the employee,string,"bracno stanje, civil status, em marital status, famst, marital status, maritalstatus"
employee.name,employee,name,Employee Name,Display name of an employee,string,"EmployeeRef_FullName;employee name, staff name, worker name",true,,person_name,employee
employee.national_id,employee,national_id,National ID,Government-issued national identification number,string,"SSN;maticni broj jmbg, national id, national id number, nationalid, nin, pernr nat, social security number, ssn",true,,"direct_identifier,government_identifier",employee
employee.nationality,employee,nationality,Nationality,Primary nationality or citizenship country of the employee,string,"citizenship, em citizenship primary, em nationality, nacionalnost, nat, natio, nationality, nationality c, nationality id"
employee.passport_id,employee,passport_id,Passport ID,Passport document number,string,"broj pasosa, passport id, passport number, passportnumber, reisp",true,,government_identifier,employee
employee.pay_group,employee,pay_group,Pay Group,Payroll pay group reference for the worker,string,"em pay group, em pay rate type, pay group, payroll group"
employee.phone,employee,phone,Employee Phone,Phone number associated with an employee contact record.,string,"Mobile;complete phone number, employee phone, employee phone number, home phone, mobile phone, phone number, work phone",true,,contact,employee
employee.position,employee,position,Employee Position Assignment,Current organizational position assignment for an employee; not the same as job profile title or position title.,string,"ID;JobTitle;employee current position, employee position assignment, job id, jobtitle, plans, position c, radno mesto, worker position assignment"
employee.service_date,employee,service_date,Service Date,"Company or division service date, taking into account tenure and breaks",date,"company service date, division entry date, em company service date, em seniority date, seniority date, service date"
employee.skill,employee,skill,Skill or Competency,Specific professional competency,string,"competency, employee skill, quali, qualification, skill c, skill id, skl, vestina"
employee.termination_date,employee,termination_date,Termination Date,Date employee contract or employment ended,date,"ReleasedDate;datum prestanka radnog odnosa, endda, separation date, termination date, terminationdate"
employee.termination_reason,employee,termination_reason,Termination Reason,Reason code or description for the end of employment,string,"em termination reason, separation reason, termination reason"
equipment.id,equipment,id,Equipment ID,Identifier for a specific piece of machinery,string,"equip id, equipment id, equipment number, equipmentid, equnr, id opreme, machine id"
exchange_rate.effective_date,exchange_rate,effective_date,Exchange Rate Effective Date,Date from which the exchange rate is valid.,date,"effective date, exchange rate date, fx rate date, gdatu"
exchange_rate.from_currency_code,exchange_rate,from_currency_code,From Currency Code,Source currency code for an exchange rate.,string,"base currency, from currency, source currency"
exchange_rate.rate,exchange_rate,rate,Exchange Rate,Rate used to convert between two currencies.,decimal,"ExchangeRate;Rate;conversion rate, devizni kurs, exchange rate, exchangerate, fx rate, kursf, wkurs"
exchange_rate.to_currency_code,exchange_rate,to_currency_code,To Currency Code,Target currency code for an exchange rate.,string,"quote currency, target currency, to currency"
fiscal_period.id,fiscal_period,id,Fiscal Period,Month or period of the fiscal year,integer,"ID;fiscal month, fiscal period, fiscalperiod, fiskalni period, h monat, monat, poper, posting period"
fiscal_year.id,fiscal_year,id,Fiscal Year,Financial reporting year,integer,"dp gjahr, fisc year, fiscal year, fiscalyear, fiskalna godina, gjahr, reporting year"
fulfillment.due_date,fulfillment,due_date,Fulfillment Due Date,Date by which an order or shipment is expected to be fulfilled.,date,"delivery commitment date, fulfillment due date, ship by date"
fulfillment.status,fulfillment,status,Fulfillment Status,Current fulfillment state of an order or order line.,string,"fulfillment lifecycle status, fulfillment status, order fulfillment status"
gl_account.id,gl_account,id,GL Account,General Ledger account identifier,string,"general ledger account, gl account, gl account id, gl acct, glaccount, hkont, konto glavne knjige"
goods_movement.type,goods_movement,type,Goods Movement Type,Code identifying the type of inventory movement.,string,"bwart, goods movement type, inventory movement type, movement type"
goods_receipt.date,goods_receipt,date,Goods Receipt Date,Date when goods or services were received.,date,"budat, goods receipt date, gr date, receipt date"
goods_receipt.id,goods_receipt,id,Goods Receipt ID,Identifier for a goods receipt document or receiving transaction.,string,"RefNumber;broj potvrde, broj prijema, goods receipt id, gr document number, mblnr, racuna, receipt no, receipt number, receiptno, receiptnumber"
goods_receipt.quantity,goods_receipt,quantity,Goods Receipt Quantity,Quantity received in a goods receipt transaction.,decimal,"goods receipt quantity, gr quantity, menge, received quantity"
handling_unit.id,handling_unit,id,Handling Unit ID,"Identifier for a physical packaging unit (pallet, box)",string,"handling unit id, hu id, packaging unit, sscc, venum"
incoterm.code,incoterm,code,Incoterms,"Standard trade terms (e.g., EXW, FOB)",string,"inco, inco1, incoterm, incoterm id, incoterms, incoterms c, incoterms uslovi, incotermscode, shipping terms"
incoterm.location,incoterm,location,Incoterms Location,Named place associated with the Incoterms rule.,string,"inco2, incoterm place, incoterms location, shipping terms location"
info_record_category.code,info_record_category,code,Info Record Category Code,Category code that classifies a purchasing info record by procurement scenario.,string,"esokz, info category code, info record category, info record category code, info_category_code"
internal_order.id,internal_order,id,Internal Order,Identifier for a short-term internal project or cost object,string,"internal order, internal order id, internal order number"
inventory_location.id,inventory_location,id,Inventory Location ID,Identifier for a physical or logical inventory location.,string,"ID;inventory location id, stock location, storage location, warehouse location"
inventory_lot.expiration_date,inventory_lot,expiration_date,Inventory Lot Expiration Date,Expiration or shelf-life date for a batch or lot.,date,"expiration date, shelf life expiration date, use by date, vfdat"
inventory_lot.id,inventory_lot,id,Inventory Lot ID,Identifier for a lot or batch of inventory.,string,"batch number, charg, inventory lot id, lot id"
inventory_lot.manufacture_date,inventory_lot,manufacture_date,Inventory Lot Manufacture Date,Date when the lot or batch was manufactured.,date,"batch production date, datum proizvodnje, hsdat, manufacture date, production date, productiondate"
