Kategorija/Domen,Naziv (Engleski),Naziv (Srpski),snake_case,camelCase,PascalCase,kebab-case,UPPER_SNAKE,lowercase,SAP style,Oracle/QAD style,Salesforce style,Odoo style,MS Dynamics style,Skracenice,Alternativni nazivi,Tip podatka,Tipicna duzina,Primer vrednosti
Osobe/Kontakti,Password,Lozinka,password,password,Password,password,PASSWORD,password,PASSWORD,PASSWORD,Password__c,password,password,"pwd, pass","passwd, pin",VARCHAR,255,***hashed***
Osobe/Kontakti,Password Hash,Hes lozinke,password_hash,passwordHash,PasswordHash,password-hash,PASSWORD_HASH,passwordhash,PWD_HASH,PWD_HASH,PasswordHash__c,password_crypt,passwordhash,pwdhash,"hash, encrypted_password",VARCHAR,255,$2b$10$...
Osobe/Kontakti,User ID,ID korisnika,user_id,userId,UserId,user-id,USER_ID,userid,USERID,USER_ID,UserId,user_id,systemuserid,"uid, usr","user_pk, account_id",INT/UUID,-,12345
Osobe/Kontakti,Person ID,ID osobe,person_id,personId,PersonId,person-id,PERSON_ID,personid,PERNR,PERSON_ID,PersonId__c,partner_id,contactid,"pid, pno","party_id, individual_id",INT/UUID,-,98765
Osobe/Kontakti,Contact ID,ID kontakta,contact_id,contactId,ContactId,contact-id,CONTACT_ID,contactid,PARNR,CONTACT_ID,ContactId,contact_id,contactid,"cid, cno","contact_key, contact_pk",INT/UUID,-,45678
Osobe/Kontakti,Customer ID,ID kupca,customer_id,customerId,CustomerId,customer-id,CUSTOMER_ID,customerid,KUNNR,CUSTOMER_ID,AccountId,partner_id,customerid,"cust_id, custno","client_id, buyer_id",INT/UUID,-,C0001
Osobe/Kontakti,Vendor ID,ID dobavljaca,vendor_id,vendorId,VendorId,vendor-id,VENDOR_ID,vendorid,LIFNR,VENDOR_ID,Vendor__c,partner_id,vendorid,"vend_id, vno",supplier_id,INT/UUID,-,V0001
Osobe/Kontakti,Profile Picture,Profilna slika,profile_picture,profilePicture,ProfilePicture,profile-picture,PROFILE_PICTURE,profilepicture,PHOTO,PROFILE_IMG,PhotoUrl,image_1920,entityimage,"pic, photo","avatar, profile_image",VARBINARY,-,image.jpg
Osobe/Kontakti,Signature,Potpis,signature,signature,Signature,signature,SIGNATURE,signature,SIGNAT,SIGNATURE,Signature__c,signature,signature,sig,digital_signature,VARBINARY,-,signature.png
Osobe/Kontakti,Language,Jezik,language,language,Language,language,LANGUAGE,language,SPRAS,LANGUAGE,LanguageLocaleKey,lang,preferredlanguagecode,"lang, lng","locale, language_code",VARCHAR,10,sr_RS
Osobe/Kontakti,Timezone,Vremenska zona,timezone,timezone,Timezone,timezone,TIMEZONE,timezone,TZONE,TIMEZONE,TimeZoneSidKey,tz,timezonecode,tz,"time_zone, tz_offset",VARCHAR,50,Europe/Belgrade
Osobe/Kontakti,Job Title,Pozicija/Radno mesto,job_title,jobTitle,JobTitle,job-title,JOB_TITLE,jobtitle,TITEL,JOB_TITLE,Title,function,jobtitle,"title, pos","position, role",VARCHAR,100,Senior Developer
Osobe/Kontakti,Department,Odeljenje,department,department,Department,department,DEPARTMENT,department,ABTEI,DEPARTMENT,Department,department_id,department,"dept, dep","division, unit",VARCHAR,100,IT
Osobe/Kontakti,Company Name,Naziv kompanije,company_name,companyName,CompanyName,company-name,COMPANY_NAME,companyname,BUKRS_NAME,COMPANY,Account.Name,company_id,parentcustomerid,"co, comp","organization, firm",VARCHAR,200,Acme Corp
Osobe/Kontakti,Manager ID,ID menadzera,manager_id,managerId,ManagerId,manager-id,MANAGER_ID,managerid,VORGE,MANAGER_ID,ManagerId,parent_id,parentsystemuserid,mgr_id,"supervisor_id, boss_id",INT/UUID,-,M101
Osobe/Kontakti,Notes/Comments,Napomene/Komentari,notes,notes,Notes,notes,NOTES,notes,NOTIZ,REMARKS,Description,comment,description,"note, comm","remarks, description",TEXT,-,VIP klijent
Osobe/Kontakti,Status,Status,status,status,Status,status,STATUS,status,STAT,STATUS,Status,state,statuscode,st,"state, condition",VARCHAR,20,Active
Osobe/Kontakti,Active Flag,Aktivan (flag),is_active,isActive,IsActive,is-active,IS_ACTIVE,isactive,XAKTIV,ACTIVE_FLAG,IsActive,active,statecode,active,"enabled, is_enabled",BOOLEAN,-,TRUE
Osobe/Kontakti,Religion,Veroispovest,religion,religion,Religion,religion,RELIGION,religion,KONFE,RELIGION,Religion__c,religion,religion,rel,"faith, denomination",VARCHAR,50,Orthodox
Osobe/Kontakti,Blood Type,Krvna grupa,blood_type,bloodType,BloodType,blood-type,BLOOD_TYPE,bloodtype,BLOOD_GR,BLOOD_TYPE,BloodType__c,blood_type,bloodtype,bt,blood_group,VARCHAR,5,A+
Osobe/Kontakti,Emergency Contact Name,Kontakt u hitnim slucajevima - ime,emergency_contact_name,emergencyContactName,EmergencyContactName,emergency-contact-name,EMERGENCY_CONTACT_NAME,emergencycontactname,NOTFL_NM,EMERG_NAME,EmergencyContact__c,emergency_contact,emergencycontactname,em_name,next_of_kin,VARCHAR,150,Ana Petrovic
Osobe/Kontakti,Emergency Contact Phone,Kontakt u hitnim slucajevima - telefon,emergency_contact_phone,emergencyContactPhone,EmergencyContactPhone,emergency-contact-phone,EMERGENCY_CONTACT_PHONE,emergencycontactphone,NOTFL_TEL,EMERG_PHONE,EmergencyPhone__c,emergency_phone,emergencycontactphone,em_phone,kin_phone,VARCHAR,20,381641111111
Osobe/Kontakti,Skype ID,Skype ID,skype_id,skypeId,SkypeId,skype-id,SKYPE_ID,skypeid,SKYPE,SKYPE_ID,SkypeId__c,skype,skype,skype,skype_name,VARCHAR,50,marko.skype
Osobe/Kontakti,LinkedIn URL,LinkedIn URL,linkedin_url,linkedinUrl,LinkedinUrl,linkedin-url,LINKEDIN_URL,linkedinurl,LINKEDIN,LINKEDIN,LinkedIn__c,linkedin,linkedinprofileurl,"li, linkedin",linkedin_profile,VARCHAR,255,linkedin.com/in/marko
Osobe/Kontakti,Facebook URL,Facebook URL,facebook_url,facebookUrl,FacebookUrl,facebook-url,FACEBOOK_URL,facebookurl,FACEBOOK,FACEBOOK,Facebook__c,facebook,fbprofileurl,fb,facebook_profile,VARCHAR,255,facebook.com/marko
Osobe/Kontakti,Twitter Handle,Twitter username,twitter_handle,twitterHandle,TwitterHandle,twitter-handle,TWITTER_HANDLE,twitterhandle,TWITTER,TWITTER,Twitter__c,twitter,twitterhandle,tw,"twitter_username, x_handle",VARCHAR,50,@marko
Osobe/Kontakti,Website,Veb sajt,website,website,Website,website,WEBSITE,website,URL_HOME,WEBSITE,Website,website,websiteurl,"web, www","homepage, url",VARCHAR,255,www.example.com
Adrese,Address Line 1,Adresa - linija 1,address_line_1,addressLine1,AddressLine1,address-line-1,ADDRESS_LINE_1,addressline1,STRAS,ADDR_LINE1,Street,street,address1_line1,"addr1, adl1","street_address, addr_line_1",VARCHAR,255,Bulevar Kralja 12
Adrese,Address Line 2,Adresa - linija 2,address_line_2,addressLine2,AddressLine2,address-line-2,ADDRESS_LINE_2,addressline2,STRA2,ADDR_LINE2,Street2__c,street2,address1_line2,"addr2, adl2","suite, apartment",VARCHAR,255,Stan 5
Adrese,Address Line 3,Adresa - linija 3,address_line_3,addressLine3,AddressLine3,address-line-3,ADDRESS_LINE_3,addressline3,STRA3,ADDR_LINE3,Street3__c,street3,address1_line3,addr3,additional_address,VARCHAR,255,Sprat 2
Adrese,Street,Ulica,street,street,Street,street,STREET,street,STRAS,STREET,Street,street_name,street,str,"road, avenue",VARCHAR,100,Bulevar Kralja
Adrese,Street Number,Kucni broj,street_number,streetNumber,StreetNumber,street-number,STREET_NUMBER,streetnumber,HSNUM,HOUSE_NO,HouseNumber__c,street_number,housenumber,"st_no, hno","house_no, building_number",VARCHAR,10,12A
Adrese,City,Grad,city,city,City,city,CITY,city,ORT01,CITY,City,city,city,cty,"town, locality",VARCHAR,100,Beograd
Adrese,State/Province,Republika/Pokrajina,state,state,State,state,STATE,state,REGIO,STATE_PROV,State,state_id,stateorprovince,"st, prov","province, region",VARCHAR,100,Vojvodina
Adrese,Country,Drzava,country,country,Country,country,COUNTRY,country,LAND1,COUNTRY,Country,country_id,country,cntry,"nation, country_name",VARCHAR,100,Serbia
Adrese,Country Code,sifra drzave,country_code,countryCode,CountryCode,country-code,COUNTRY_CODE,countrycode,LANDX,COUNTRY_CD,CountryCode,country_code,countrycode,cc,"iso_country, country_iso",VARCHAR,3,RS
Adrese,ZIP/Postal Code,Postanski broj,postal_code,postalCode,PostalCode,postal-code,POSTAL_CODE,postalcode,PSTLZ,POSTAL_CD,PostalCode,zip,postalcode,"zip, pc","zip_code, pcode",VARCHAR,20,11000
Adrese,Region,Region,region,region,Region,region,REGION,region,REGIO,REGION,Region__c,region,region,rgn,"area, zone",VARCHAR,100,Central
Adrese,District,Opstina,district,district,District,district,DISTRICT,district,BEZIRK,DISTRICT,District__c,district,district,dist,"county, borough",VARCHAR,100,Stari grad
Adrese,Municipality,Opstina,municipality,municipality,Municipality,municipality,MUNICIPALITY,municipality,GEMEINDE,MUNICIPAL,Municipality__c,municipality,municipality,muni,commune,VARCHAR,100,Vracar
Adrese,Neighborhood,Naselje/Kvart,neighborhood,neighborhood,Neighborhood,neighborhood,NEIGHBORHOOD,neighborhood,STADTTL,NEIGHBOR,Neighborhood__c,neighborhood,address1_neighborhood,nbhd,"area, locality",VARCHAR,100,Dorcol
Adrese,Building Number,Broj zgrade,building_number,buildingNumber,BuildingNumber,building-number,BUILDING_NUMBER,buildingnumber,GEBNR,BLDG_NO,Building__c,building,buildingnumber,bldg,block_number,VARCHAR,20,3
Adrese,Floor,Sprat,floor,floor,Floor,floor,FLOOR,floor,STOCK,FLOOR,Floor__c,floor,floor,flr,"level, story",VARCHAR,10,2
Adrese,Apartment,Stan,apartment,apartment,Apartment,apartment,APARTMENT,apartment,APPART,APT,Apartment__c,apartment,apartment,apt,"suite, unit",VARCHAR,20,5
Adrese,PO Box,Postanski fah,po_box,poBox,PoBox,po-box,PO_BOX,pobox,POSTFACH,POBOX,POBox__c,po_box,postofficebox,pob,post_office_box,VARCHAR,20,PO 123
Adrese,Latitude,Geografska sirina,latitude,latitude,Latitude,latitude,LATITUDE,latitude,GEOC_LAT,LATITUDE,Latitude,partner_latitude,address1_latitude,lat,"geo_lat, y_coord",DECIMAL,"9,6",44.787197
Adrese,Longitude,Geografska duzina,longitude,longitude,Longitude,longitude,LONGITUDE,longitude,GEOC_LON,LONGITUDE,Longitude,partner_longitude,address1_longitude,"lng, lon","geo_lng, x_coord",DECIMAL,"9,6",20.457273
Adrese,Address Type,Tip adrese,address_type,addressType,AddressType,address-type,ADDRESS_TYPE,addresstype,ADRTP,ADDR_TYPE,AddressType__c,type,addresstypecode,addr_type,"addr_kind, location_type",VARCHAR,20,Billing
Adrese,Billing Address,Adresa za fakturisanje,billing_address,billingAddress,BillingAddress,billing-address,BILLING_ADDRESS,billingaddress,RECH_ADR,BILL_ADDR,BillingAddress,invoice_address,address1,bill_addr,invoice_addr,VARCHAR,500,"Ulica 1, Beograd"
Adrese,Shipping Address,Adresa za isporuku,shipping_address,shippingAddress,ShippingAddress,shipping-address,SHIPPING_ADDRESS,shippingaddress,LIEF_ADR,SHIP_ADDR,ShippingAddress,shipping_address,address2,ship_addr,delivery_addr,VARCHAR,500,"Ulica 2, Novi Sad"
Adrese,Mailing Address,Postanska adresa,mailing_address,mailingAddress,MailingAddress,mailing-address,MAILING_ADDRESS,mailingaddress,POST_ADR,MAIL_ADDR,MailingAddress,mailing_address,address3,mail_addr,postal_address,VARCHAR,500,"PO Box 100, BG"
Adrese,Home Address,Kucna adresa,home_address,homeAddress,HomeAddress,home-address,HOME_ADDRESS,homeaddress,PRIVAT_ADR,HOME_ADDR,HomeAddress__c,address_home,address1_home,h_addr,residence_addr,VARCHAR,500,"Privatna 5, BG"
Adrese,Work Address,Poslovna adresa,work_address,workAddress,WorkAddress,work-address,WORK_ADDRESS,workaddress,GESCH_ADR,WORK_ADDR,WorkAddress__c,address_work,address1_work,w_addr,"business_addr, office_addr",VARCHAR,500,"Bulevar 12, BG"
Adrese,GPS Coordinates,GPS koordinate,gps_coordinates,gpsCoordinates,GpsCoordinates,gps-coordinates,GPS_COORDINATES,gpscoordinates,GPS_KOORD,GPS_COORD,GPSCoord__c,gps,gpscoordinates,gps,"coordinates, geocode",VARCHAR,50,"44.78,20.45"
Adrese,Time Zone (Address),Vremenska zona (adresa),address_timezone,addressTimezone,AddressTimezone,address-timezone,ADDRESS_TIMEZONE,addresstimezone,ADR_TZ,ADDR_TZ,AddressTimeZone__c,tz,address1_utcoffset,addr_tz,utc_offset,VARCHAR,50,UTC+1
Adrese,Address Valid From,Adresa vazi od,address_valid_from,addressValidFrom,AddressValidFrom,address-valid-from,ADDRESS_VALID_FROM,addressvalidfrom,DATE_FROM,VALID_FROM,ValidFrom__c,date_start,address_validfrom,vfrom,effective_from,DATE,-,2020-01-01
Adrese,Address Valid To,Adresa vazi do,address_valid_to,addressValidTo,AddressValidTo,address-valid-to,ADDRESS_VALID_TO,addressvalidto,DATE_TO,VALID_TO,ValidTo__c,date_end,address_validto,vto,effective_to,DATE,-,2025-12-31
Adrese,Is Primary Address,Primarna adresa,is_primary_address,isPrimaryAddress,IsPrimaryAddress,is-primary-address,IS_PRIMARY_ADDRESS,isprimaryaddress,XPRIM,PRIM_FLAG,IsPrimary__c,is_primary,primary_address,primary,"default_address, main_addr",BOOLEAN,-,TRUE
Adrese,Address ID,ID adrese,address_id,addressId,AddressId,address-id,ADDRESS_ID,addressid,ADRNR,ADDR_ID,AddressId,address_id,address1_addressid,adid,address_pk,INT/UUID,-,A001
Adrese,Postal Code Extended,Prosireni postanski broj,postal_code_ext,postalCodeExt,PostalCodeExt,postal-code-ext,POSTAL_CODE_EXT,postalcodeext,PSTL_EXT,POST_EXT,PostalCodeExt__c,zip_ext,postcode_ext,zip4,plus_four,VARCHAR,10,11000-001
Adrese,Delivery Instructions,Uputstva za isporuku,delivery_instructions,deliveryInstructions,DeliveryInstructions,delivery-instructions,DELIVERY_INSTRUCTIONS,deliveryinstructions,LIEF_INSTR,DEL_INSTR,DeliveryNote__c,delivery_note,shippinginstructions,del_inst,"delivery_note, ship_note",TEXT,-,Pozvonite drugi sprat
Adrese,Phone (Address),Telefon (adresa),address_phone,addressPhone,AddressPhone,address-phone,ADDRESS_PHONE,addressphone,TEL_NUMBER,ADDR_PHONE,AddressPhone__c,phone,address1_telephone1,adr_tel,location_phone,VARCHAR,20,38111234567
Kompanije,Company ID,ID kompanije,company_id,companyId,CompanyId,company-id,COMPANY_ID,companyid,BUKRS,COMPANY_ID,AccountId,company_id,accountid,"co_id, comp_id","organization_id, firm_id",INT/UUID,-,CO001
Kompanije,Company Code,sifra kompanije,company_code,companyCode,CompanyCode,company-code,COMPANY_CODE,companycode,BUKRS,COMP_CODE,CompanyCode__c,company_code,companycode,co_cd,"org_code, business_code",VARCHAR,10,1000
Kompanije,Legal Name,Pun pravni naziv,legal_name,legalName,LegalName,legal-name,LEGAL_NAME,legalname,NAME1_LEG,LEGAL_NAME,Name,name,name,legal_nm,"registered_name, official_name",VARCHAR,255,Acme Trading d.o.o.
Kompanije,Trade Name,Trgovacko ime,trade_name,tradeName,TradeName,trade-name,TRADE_NAME,tradename,NAME2,TRADE_NAME,TradeName__c,trade_name,tradename,tn,"dba, doing_business_as",VARCHAR,255,Acme
Kompanije,Brand Name,Naziv brenda,brand_name,brandName,BrandName,brand-name,BRAND_NAME,brandname,MARKE,BRAND,Brand__c,brand,brandname,brand,marca,VARCHAR,100,Acme Plus
Kompanije,Business Type,Tip poslovanja,business_type,businessType,BusinessType,business-type,BUSINESS_TYPE,businesstype,GESCH_TYP,BUS_TYPE,Type,company_type,industrycode,biz_type,"company_type, entity_type",VARCHAR,50,LLC
Kompanije,Industry,Delatnost/Industrija,industry,industry,Industry,industry,INDUSTRY,industry,BRSCH,INDUSTRY,Industry,industry,industrycode,ind,"sector, business_sector",VARCHAR,100,Manufacturing
Kompanije,Industry Code,sifra delatnosti,industry_code,industryCode,IndustryCode,industry-code,INDUSTRY_CODE,industrycode,BRSCH_CD,IND_CODE,IndustryCode__c,industry_id,industrycode,ind_cd,"sic_code, naics, sd",VARCHAR,10,2540
Kompanije,Registration Number,Maticni broj firme,registration_number,registrationNumber,RegistrationNumber,registration-number,REGISTRATION_NUMBER,registrationnumber,HRZAH,REG_NO,RegistrationNumber__c,company_registry,registrationnumber,"reg_no, mb","company_number, mat_br",VARCHAR,20,12345678
Kompanije,VAT Number,PDV broj,vat_number,vatNumber,VatNumber,vat-number,VAT_NUMBER,vatnumber,STCEG,VAT_NO,VATNumber__c,vat,vatnumber,vat,"vat_id, ust_id",VARCHAR,20,RS103456789
Kompanije,Tax Number (PIB),PIB,tax_number,taxNumber,TaxNumber,tax-number,TAX_NUMBER,taxnumber,STCD1,TAX_NO,TaxNumber__c,vat,taxnumber,"pib, tax","tin, fiscal_code",VARCHAR,15,103456789
Kompanije,Headquarters Address,Adresa sedista,hq_address,hqAddress,HqAddress,hq-address,HQ_ADDRESS,hqaddress,ANRED_HQ,HQ_ADDR,HQAddress__c,hq_address,hq_address,hq_addr,"head_office, main_office",VARCHAR,500,Knez Mihailova 5
Kompanije,Founded Date,Datum osnivanja,founded_date,foundedDate,FoundedDate,founded-date,FOUNDED_DATE,foundeddate,GRUEND,FOUND_DATE,FoundedDate__c,date_founded,foundeddate,est_date,"establishment_date, incorporated_on",DATE,-,1995-03-15
Kompanije,Number of Employees,Broj zaposlenih,employee_count,employeeCount,EmployeeCount,employee-count,EMPLOYEE_COUNT,employeecount,ANZ_MITARB,EMP_COUNT,NumberOfEmployees,no_employees,numberofemployees,emp_cnt,"headcount, staff_count",INT,-,250
Kompanije,Annual Revenue,Godisnji prihod,annual_revenue,annualRevenue,AnnualRevenue,annual-revenue,ANNUAL_REVENUE,annualrevenue,UMSAT_JR,ANNUAL_REV,AnnualRevenue,revenue,revenue,ann_rev,"yearly_revenue, turnover",DECIMAL,"15,2",5000000
Kompanije,Stock Symbol,Berzanski simbol,stock_symbol,stockSymbol,StockSymbol,stock-symbol,STOCK_SYMBOL,stocksymbol,BORSE_SYM,TICKER,TickerSymbol,stock_symbol,tickersymbol,ticker,"symbol, stock_ticker",VARCHAR,10,ACME
Kompanije,Parent Company,Maticna kompanija,parent_company,parentCompany,ParentCompany,parent-company,PARENT_COMPANY,parentcompany,MUKRS,PARENT_CO,ParentId,parent_id,parentaccountid,parent,holding_company,VARCHAR,255,Acme Holdings
Kompanije,Subsidiary,Podruznica,subsidiary,subsidiary,Subsidiary,subsidiary,SUBSIDIARY,subsidiary,TOCH_GES,SUBSIDIARY,Subsidiary__c,subsidiary_ids,subsidiary,subsid,"child_company, branch",VARCHAR,255,Acme Serbia
Kompanije,CEO Name,Generalni direktor,ceo_name,ceoName,CeoName,ceo-name,CEO_NAME,ceoname,GESCHF,CEO,CEOName__c,ceo_name,ceoname,ceo,"president, gd",VARCHAR,150,Marko Jovanovic
Kompanije,Account Owner,Vlasnik naloga,account_owner,accountOwner,AccountOwner,account-owner,ACCOUNT_OWNER,accountowner,ACCT_OWN,OWNER,OwnerId,user_id,ownerid,owner,"assigned_to, account_mgr",INT/UUID,-,U001
Kompanije,Lead Source,Izvor lead-a,lead_source,leadSource,LeadSource,lead-source,LEAD_SOURCE,leadsource,HERKU,LEAD_SRC,LeadSource,source_id,leadsourcecode,src,"origin, source",VARCHAR,50,Web
Kompanije,Account Status,Status naloga,account_status,accountStatus,AccountStatus,account-status,ACCOUNT_STATUS,accountstatus,ACCT_STAT,ACCT_STAT,Status,state,statuscode,acct_st,account_state,VARCHAR,20,Active
Kompanije,Customer Type,Tip kupca,customer_type,customerType,CustomerType,customer-type,CUSTOMER_TYPE,customertype,KUNNR_TYP,CUST_TYPE,Type,type,customertypecode,cust_type,client_type,VARCHAR,50,B2B
Kompanije,Customer Group,Grupa kupaca,customer_group,customerGroup,CustomerGroup,customer-group,CUSTOMER_GROUP,customergroup,KUKLA,CUST_GRP,CustomerGroup__c,category_id,customercategory,cust_grp,client_group,VARCHAR,50,Wholesale
Kompanije,Vendor Type,Tip dobavljaca,vendor_type,vendorType,VendorType,vendor-type,VENDOR_TYPE,vendortype,LIFNR_TYP,VEND_TYPE,VendorType__c,supplier_type,vendortype,vend_type,supplier_type,VARCHAR,50,Manufacturer
Kompanije,Supplier Group ID,ID grupe dobavljaca,supplier_group_id,supplierGroupId,SupplierGroupId,supplier-group-id,SUPPLIER_GROUP_ID,suppliergroupid,KTOKK,SUPPLIER_GRP,SupplierGroupId__c,supplier_group_id,suppliergroupid,"supp_grp, vendor_group, acct_group","supplier group, vendor group, account group, supplier account group",VARCHAR,10,0001
Kompanije,Credit Rating,Kreditni rejting,credit_rating,creditRating,CreditRating,credit-rating,CREDIT_RATING,creditrating,BONIT,CR_RATING,Rating,credit_rating,creditrating,cr_rate,credit_score,VARCHAR,10,AA
Kompanije,Credit Limit,Kreditni limit,credit_limit,creditLimit,CreditLimit,credit-limit,CREDIT_LIMIT,creditlimit,KLIMK,CR_LIMIT,CreditLimit__c,credit_limit,creditlimit,cr_lim,max_credit,DECIMAL,"15,2",100000
